image_id,path,set,small_vehicles,large_vehicles,total_vehicles,category,max_occlusion
A1_DJI_0520__1024__0___0,C:\Users\migue\OneDrive - Universidad Nacional de Colombia\U Nacional\Machine Learning\Proyecto Final ML\data\VSAIv1\split_ss_444_lsv\train\images\A1_DJI_0520__1024__0___0.png,train,0,0,0,small_only,0
A1_DJI_0520__1024__0___1648,C:\Users\migue\OneDrive - Universidad Nacional de Colombia\U Nacional\Machine Learning\Proyecto Final ML\data\VSAIv1\split_ss_444_lsv\train\images\A1_DJI_0520__1024__0___1648.png,train,0,0,0,small_only,0
A1_DJI_0520__1024__0___2472,C:\Users\migue\OneDrive - Universidad Nacional de Colombia\U Nacional\Machine Learning\Proyecto Final ML\data\VSAIv1\split_ss_444_lsv\train\images\A1_DJI_0520__1024__0___2472.png,train,0,0,0,small_only,0
A1_DJI_0520__1024__0___2624,C:\Users\migue\OneDrive - Universidad Nacional de Colombia\U Nacional\Machine Learning\Proyecto Final ML\data\VSAIv1\split_ss_444_lsv\train\images\A1_DJI_0520__1024__0___2624.png,train,0,0,0,small_only,0
A1_DJI_0520__1024__0___824,C:\Users\migue\OneDrive - Universidad Nacional de Colombia\U Nacional\Machine Learning\Proyecto Final ML\data\VSAIv1\split_ss_444_lsv\train\images\A1_DJI_0520__1024__0___824.png,train,0,0,0,small_only,0
A1_DJI_0520__1024__1648___0,C:\Users\migue\OneDrive - Universidad Nacional de Colombia\U Nacional\Machine Learning\Proyecto Final ML\data\VSAIv1\split_ss_444_lsv\train\images\A1_DJI_0520__1024__1648___0.png,train,0,0,0,small_only,0
A1_DJI_0520__1024__1648___1648,C:\Users\migue\OneDrive - Universidad Nacional de Colombia\U Nacional\Machine Learning\Proyecto Final ML\data\VSAIv1\split_ss_444_lsv\train\images\A1_DJI_0520__1024__1648___1648.png,train,1,0,1,small_only,0
A1_DJI_0520__1024__1648___2472,C:\Users\migue\OneDrive - Universidad Nacional de Colombia\U Nacional\Machine Learning\Proyecto Final ML\data\VSAIv1\split_ss_444_lsv\train\images\A1_DJI_0520__1024__1648___2472.png,train,0,0,0,small_only,0
A1_DJI_0520__1024__1648___2624,C:\Users\migue\OneDrive - Universidad Nacional de Colombia\U Nacional\Machine Learning\Proyecto Final ML\data\VSAIv1\split_ss_444_lsv\train\images\A1_DJI_0520__1024__1648___2624.png,train,0,0,0,small_only,0
A1_DJI_0520__1024__1648___824,C:\Users\migue\OneDrive - Universidad Nacional de Colombia\U Nacional\Machine Learning\Proyecto Final ML\data\VSAIv1\split_ss_444_lsv\train\images\A1_DJI_0520__1024__1648___824.png,train,1,0,1,small_only,0
